MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210831,High Plains,19.7,80.3,61.28,42.33,21.41,1.58,8/31/2021,9/6/2021,1
20210831,Midwest,61.7,38.3,24.54,12.68,6.38,1.15,8/31/2021,9/6/2021,1
20210831,Northeast,77.08,22.92,12.13,1.54,0,0,8/31/2021,9/6/2021,1
20210831,South,92.11,7.89,1.27,0.1,0,0,8/31/2021,9/6/2021,1
20210831,Southeast,94.8,5.2,0.69,0,0,0,8/31/2021,9/6/2021,1
20210831,West,38.23,61.77,59.58,52.09,37.87,14.27,8/31/2021,9/6/2021,1
20210824,High Plains,20.46,79.54,62.83,43.64,23.44,2.66,8/24/2021,8/30/2021,1
20210824,Midwest,57.91,42.09,27.84,18.95,10.89,1.37,8/24/2021,8/30/2021,1
20210824,Northeast,77.36,22.64,10.59,1.54,0,0,8/24/2021,8/30/2021,1
20210824,South,94.56,5.44,1.19,0,0,0,8/24/2021,8/30/2021,1
20210824,Southeast,94.57,5.43,0.82,0,0,0,8/24/2021,8/30/2021,1
20210824,West,33.5,66.5,59.57,52.45,37.99,14.71,8/24/2021,8/30/2021,1
20210817,High Plains,21.96,78.04,62.39,43.86,24.84,3.49,8/17/2021,8/23/2021,1
20210817,Midwest,61.03,38.97,25.72,19.23,9.6,1.37,8/17/2021,8/23/2021,1
20210817,Northeast,69.78,30.22,11.13,1.5,0,0,8/17/2021,8/23/2021,1
20210817,South,91.15,8.85,0.97,0,0,0,8/17/2021,8/23/2021,1
20210817,Southeast,91.42,8.58,1.97,0,0,0,8/17/2021,8/23/2021,1
20210817,West,30.84,69.16,61.68,53.13,40.16,16.09,8/17/2021,8/23/2021,1
20210810,High Plains,23.85,76.15,60.22,43.3,24.18,3.25,8/10/2021,8/16/2021,1
20210810,Midwest,61.56,38.44,25.07,17.12,7.94,1.25,8/10/2021,8/16/2021,1
20210810,Northeast,69.18,30.82,11.13,1.5,0,0,8/10/2021,8/16/2021,1
20210810,South,91.05,8.95,1.09,0,0,0,8/10/2021,8/16/2021,1
20210810,Southeast,88.52,11.48,2.02,0,0,0,8/10/2021,8/16/2021,1
20210810,West,30.8,69.2,61.86,55.08,40.25,15.86,8/10/2021,8/16/2021,1
20210803,High Plains,26.08,73.92,57.72,42.93,22.44,3.21,8/3/2021,8/9/2021,1
20210803,Midwest,65.58,34.42,26.27,17.59,6.72,0,8/3/2021,8/9/2021,1
20210803,Northeast,72.4,27.6,9.58,1.5,0,0,8/3/2021,8/9/2021,1
20210803,South,95.33,4.67,0.83,0,0,0,8/3/2021,8/9/2021,1
20210803,Southeast,89.14,10.86,1.25,0,0,0,8/3/2021,8/9/2021,1
20210803,West,29.36,70.64,62.76,55.02,40.29,16.01,8/3/2021,8/9/2021,1
20210727,High Plains,28.07,71.93,57.34,43.19,21.94,4.61,7/27/2021,8/2/2021,1
20210727,Midwest,65.7,34.3,27.33,16.74,3.73,0,7/27/2021,8/2/2021,1
20210727,Northeast,77.06,22.94,8.69,1.38,0,0,7/27/2021,8/2/2021,1
20210727,South,95.52,4.48,0.76,0,0,0,7/27/2021,8/2/2021,1
20210727,Southeast,90.25,9.75,0.87,0,0,0,7/27/2021,8/2/2021,1
20210727,West,27.32,72.68,62.17,54,40.42,15.41,7/27/2021,8/2/2021,1
20210720,High Plains,27.78,72.22,56.04,42.66,21.6,4.9,7/20/2021,7/26/2021,1
20210720,Midwest,64.16,35.84,27.51,15.92,3.13,0,7/20/2021,7/26/2021,1
20210720,Northeast,77.09,22.91,11.14,1.58,0,0,7/20/2021,7/26/2021,1
20210720,South,94.57,5.43,1.92,0,0,0,7/20/2021,7/26/2021,1
20210720,Southeast,89.93,10.07,0.33,0,0,0,7/20/2021,7/26/2021,1
20210720,West,26.81,73.19,62.81,53.73,40.93,17.54,7/20/2021,7/26/2021,1
20210713,High Plains,26.09,73.91,54.81,41.52,19.05,4.84,7/13/2021,7/19/2021,1
20210713,Midwest,59.6,40.4,28.79,13.19,0.87,0,7/13/2021,7/19/2021,1
20210713,Northeast,69.89,30.11,12.85,1.47,0,0,7/13/2021,7/19/2021,1
20210713,South,93.71,6.29,2.88,0.59,0,0,7/13/2021,7/19/2021,1
20210713,Southeast,89.52,10.48,0.1,0,0,0,7/13/2021,7/19/2021,1
20210713,West,28.14,71.86,59.53,52.9,39.76,17.32,7/13/2021,7/19/2021,1
20210706,High Plains,31,69,55.46,42.39,18.01,5.22,7/6/2021,7/12/2021,1
20210706,Midwest,54.47,45.53,30.89,12.06,0.2,0,7/6/2021,7/12/2021,1
20210706,Northeast,60.4,39.6,21.02,3.51,0,0,7/6/2021,7/12/2021,1
20210706,South,91.45,8.55,3.18,0.59,0,0,7/6/2021,7/12/2021,1
20210706,Southeast,82.72,17.28,1.21,0,0,0,7/6/2021,7/12/2021,1
20210706,West,28.07,71.93,58.87,51.98,37.52,16.45,7/6/2021,7/12/2021,1
20210629,High Plains,31.79,68.21,54.47,41.44,18.39,6.04,6/29/2021,7/5/2021,1
20210629,Midwest,51.66,48.34,30.92,6.97,0.2,0,6/29/2021,7/5/2021,1
20210629,Northeast,58.59,41.41,20.05,3.51,0,0,6/29/2021,7/5/2021,1
20210629,South,88.1,11.9,4.78,2.9,0.59,0,6/29/2021,7/5/2021,1
20210629,Southeast,79.53,20.47,1.69,0,0,0,6/29/2021,7/5/2021,1
20210629,West,33.01,66.99,58.52,51.26,37.26,16.6,6/29/2021,7/5/2021,1
20210622,High Plains,29.66,70.34,53.9,38.82,18.44,6.08,6/22/2021,6/28/2021,1
20210622,Midwest,45.9,54.1,36.38,10.92,0.2,0,6/22/2021,6/28/2021,1
20210622,Northeast,58.57,41.43,19.45,1.11,0,0,6/22/2021,6/28/2021,1
20210622,South,84.32,15.68,7.14,3.96,2.26,0.59,6/22/2021,6/28/2021,1
20210622,Southeast,76.34,23.66,2.06,0,0,0,6/22/2021,6/28/2021,1
20210622,West,33.19,66.81,57.01,48.92,34.93,16.71,6/22/2021,6/28/2021,1
20210615,High Plains,35.36,64.64,51.34,35.11,17.36,6.04,6/15/2021,6/21/2021,1
20210615,Midwest,45.34,54.66,33.83,11.08,0.41,0,6/15/2021,6/21/2021,1
20210615,Northeast,59.01,40.99,13.84,0,0,0,6/15/2021,6/21/2021,1
20210615,South,86.58,13.42,6.97,3.95,2.26,0.59,6/15/2021,6/21/2021,1
20210615,Southeast,67.58,32.42,6.2,0.06,0,0,6/15/2021,6/21/2021,1
20210615,West,33.45,66.55,55.49,46.74,34.46,16.75,6/15/2021,6/21/2021,1
20210608,High Plains,37.52,62.48,49.52,33.77,17.15,6.04,6/8/2021,6/14/2021,1
20210608,Midwest,44.72,55.28,27.35,5.94,0,0,6/8/2021,6/14/2021,1
20210608,Northeast,56.12,43.88,9.32,0,0,0,6/8/2021,6/14/2021,1
20210608,South,85.18,14.82,7.13,4.03,2.26,0.59,6/8/2021,6/14/2021,1
20210608,Southeast,57.35,42.65,15.33,0.66,0,0,6/8/2021,6/14/2021,1
