BEGIN_YEARMONTH,STATE,EVENT_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH
201306,MARYLAND,Tornado,EF0,20.1,150.0
201307,MARYLAND,Tornado,EF0,0.8,100.0
201310,NEBRASKA,Tornado,EF0,1.71,400.0
201310,NEBRASKA,Tornado,EF0,0.68,50.0
201307,OHIO,Tornado,EF0,2.14,75.0
201306,NORTH DAKOTA,Tornado,EF0,0.1,20.0
201306,MINNESOTA,Tornado,EF0,7.0,100.0
201305,KANSAS,Tornado,EF0,0.21,50.0
201305,LOUISIANA,Tornado,EF0,1.7,350.0
201305,KANSAS,Tornado,EF0,0.27,50.0
201305,KANSAS,Tornado,EF0,0.37,50.0
201306,SOUTH CAROLINA,Tornado,EF1,4.82,125.0
201304,NEBRASKA,Tornado,EF1,0.75,75.0
201307,OKLAHOMA,Tornado,EF0,0.1,10.0
201305,ILLINOIS,Tornado,EF0,0.55,20.0
201305,INDIANA,Tornado,EF0,0.5,20.0
201304,MISSOURI,Tornado,EF0,0.25,50.0
201305,IDAHO,Tornado,EF0,1.17,5.0
201305,KANSAS,Tornado,EF0,0.3,100.0
201305,KANSAS,Tornado,EF0,0.12,75.0
201301,ALABAMA,Tornado,EF1,3.83,300.0
201301,ALABAMA,Tornado,EF1,6.5,500.0
201306,FLORIDA,Tornado,EF0,0.14,5.0
201304,MISSOURI,Tornado,EF1,7.45,70.0
201301,LOUISIANA,Tornado,EF0,8.21,40.0
201305,KANSAS,Tornado,EF1,1.71,50.0
201305,KANSAS,Tornado,EF0,0.56,50.0
201305,KANSAS,Tornado,EF4,7.0,1100.0
201304,MISSOURI,Tornado,EF0,0.07,40.0
201306,OREGON,Tornado,EF0,0.1,10.0
201306,OHIO,Tornado,EF0,0.21,50.0
201305,KANSAS,Tornado,EF0,2.06,100.0
201305,KANSAS,Tornado,EF1,4.0,100.0
201305,KANSAS,Tornado,EF0,0.31,100.0
201304,MISSOURI,Tornado,EF0,0.45,60.0
201306,TEXAS,Tornado,EF0,0.21,10.0
201305,OKLAHOMA,Tornado,EF1,3.4,330.0
201306,ILLINOIS,Tornado,EF1,2.27,100.0
201306,VIRGINIA,Tornado,EF0,2.45,75.0
201306,SOUTH CAROLINA,Tornado,EF0,1.34,80.0
201305,LOUISIANA,Tornado,EF0,0.78,250.0
201306,MARYLAND,Tornado,EF0,13.83,200.0
201306,MARYLAND,Tornado,EF0,1.8,75.0
201310,NEBRASKA,Tornado,EF0,4.46,100.0
201305,ARKANSAS,Tornado,EF1,2.2,500.0
201305,KANSAS,Tornado,EF0,1.3,25.0
201305,ILLINOIS,Tornado,EF2,0.2,75.0
201305,ILLINOIS,Tornado,EF1,4.26,50.0
201308,NORTH DAKOTA,Tornado,EF1,3.0,150.0
201308,MINNESOTA,Tornado,EF0,0.1,50.0
201305,ARKANSAS,Tornado,EF1,2.9,500.0
201305,ARKANSAS,Tornado,EF1,0.8,270.0
201306,KANSAS,Tornado,EF1,0.97,50.0
201304,LOUISIANA,Tornado,EF1,0.9,50.0
201305,TEXAS,Tornado,EF0,0.01,40.0
201307,FLORIDA,Tornado,EF0,0.06,20.0
201308,NORTH DAKOTA,Tornado,EF0,0.5,100.0
201305,MISSOURI,Tornado,EF1,1.16,50.0
201306,KANSAS,Tornado,EF0,2.02,75.0
201304,TEXAS,Tornado,EF0,1.66,20.0
201305,IDAHO,Tornado,EF0,1.0,20.0
201310,NEBRASKA,Tornado,EF0,4.71,100.0
201307,FLORIDA,Tornado,EF0,0.01,10.0
201306,COLORADO,Tornado,EF0,0.25,50.0
201305,NORTH DAKOTA,Tornado,EF0,0.1,25.0
201305,NORTH DAKOTA,Tornado,EF0,2.25,25.0
201305,IDAHO,Tornado,EF0,3.92,50.0
201304,TEXAS,Tornado,EF0,0.22,10.0
201310,LOUISIANA,Tornado,EF1,7.12,150.0
201310,LOUISIANA,Tornado,EF0,2.48,75.0
201310,LOUISIANA,Tornado,EF1,7.89,150.0
201310,LOUISIANA,Tornado,EF0,0.49,75.0
201310,LOUISIANA,Tornado,EF0,0.5,70.0
201309,OHIO,Tornado,EF0,0.2,50.0
201305,IOWA,Tornado,EF0,0.18,10.0
201308,CALIFORNIA,Tornado,EF0,1.02,3.0
201310,NEBRASKA,Tornado,EF2,6.64,264.0
201305,TEXAS,Tornado,EF1,1.43,500.0
201304,MARYLAND,Tornado,EF0,0.5,75.0
201308,WYOMING,Tornado,EF0,0.09,10.0
201306,ILLINOIS,Tornado,EF0,0.24,50.0
201305,TEXAS,Tornado,EF1,0.42,200.0
201305,LOUISIANA,Tornado,EF1,5.23,1400.0
201305,MINNESOTA,Tornado,EF0,0.5,50.0
201305,KANSAS,Tornado,EF0,0.1,25.0
201305,MISSOURI,Tornado,EF1,4.28,400.0
201304,GEORGIA,Tornado,EF2,7.64,175.0
201304,GEORGIA,Tornado,EF0,3.4,75.0
201305,MINNESOTA,Tornado,EF0,0.5,50.0
201309,IDAHO,Tornado,EF0,0.5,10.0
201309,IDAHO,Tornado,EF0,0.5,10.0
201306,KANSAS,Tornado,EF0,2.85,100.0
201308,NORTH DAKOTA,Tornado,EF0,1.0,20.0
201307,FLORIDA,Tornado,EF0,0.05,20.0
201308,MARYLAND,Tornado,EF0,1.0,75.0
201311,ILLINOIS,Tornado,EF4,10.59,200.0
201308,COLORADO,Tornado,EF0,0.1,50.0
201302,LOUISIANA,Tornado,EF0,0.01,20.0
201302,TEXAS,Tornado,EF0,0.01,10.0
201302,TEXAS,Tornado,EF0,0.01,20.0
201302,TEXAS,Tornado,EF0,0.01,20.0
201302,TEXAS,Tornado,EF0,1.55,30.0
201302,TEXAS,Tornado,EF0,1.2,50.0
201307,NORTH DAKOTA,Tornado,EF0,0.1,20.0
201307,OHIO,Tornado,EF1,1.34,200.0
201311,MONTANA,Tornado,EF0,0.75,200.0
201311,KENTUCKY,Tornado,EF2,13.42,200.0
201311,ILLINOIS,Tornado,EF0,2.11,20.0
201311,ILLINOIS,Tornado,EF1,3.58,100.0
201311,ILLINOIS,Tornado,EF1,0.37,50.0
201308,COLORADO,Tornado,EF0,0.1,50.0
201302,TEXAS,Tornado,EF1,0.01,20.0
201311,ILLINOIS,Tornado,EF2,3.3,300.0
201311,ILLINOIS,Tornado,EF1,1.03,100.0
201311,ILLINOIS,Tornado,EF2,6.83,300.0
201305,KANSAS,Tornado,EF2,3.83,150.0
201302,LOUISIANA,Tornado,EF0,2.03,10.0
201311,ILLINOIS,Tornado,EF2,4.14,100.0
201311,ILLINOIS,Tornado,EF1,0.15,25.0
201311,ILLINOIS,Tornado,EF2,10.28,225.0
