BEGIN_YEARMONTH,STATE_FIPS,BEGIN_TIME,TOR_F_SCALE,STATE,CZ_NAME,TOR_LENGTH,TOR_WIDTH
195004,40.0,1445,F3,OKLAHOMA,WASHITA,3.4,400.0
195004,48.0,1530,F1,TEXAS,COMANCHE,11.5,200.0
195007,42.0,1800,F2,PENNSYLVANIA,LEHIGH,12.9,33.0
195007,42.0,1830,F2,PENNSYLVANIA,DAUPHIN,0.0,13.0
195007,42.0,1440,F0,PENNSYLVANIA,CRAWFORD,0.0,33.0
195008,42.0,1600,F1,PENNSYLVANIA,BUCKS,1.0,33.0
195011,42.0,1700,F3,PENNSYLVANIA,LANCASTER,4.7,100.0
195011,42.0,1730,F3,PENNSYLVANIA,BERKS,11.2,100.0
195009,40.0,1745,F2,OKLAHOMA,HUGHES,6.8,100.0
195009,40.0,130,F0,OKLAHOMA,PITTSBURG,0.0,33.0
195010,40.0,2100,F1,OKLAHOMA,CIMARRON,15.8,33.0
195006,31.0,2100,F0,NEBRASKA,NUCKOLLS,1.9,33.0
195002,40.0,1020,F2,OKLAHOMA,OKLAHOMA,2.0,50.0
195003,40.0,300,F2,OKLAHOMA,PITTSBURG,0.1,77.0
195004,40.0,1800,F2,OKLAHOMA,LINCOLN,1.0,100.0
195004,40.0,1615,F1,OKLAHOMA,TULSA,1.0,33.0
195004,40.0,1417,F3,OKLAHOMA,KIOWA,9.4,400.0
195004,40.0,1435,F3,OKLAHOMA,KIOWA,8.0,400.0
195004,40.0,1905,F4,OKLAHOMA,HUGHES,4.5,200.0
195004,40.0,1930,F2,OKLAHOMA,COAL,0.8,100.0
195005,40.0,2130,F1,OKLAHOMA,CUSTER,0.0,33.0
195005,40.0,2130,F2,OKLAHOMA,BECKHAM,5.6,293.0
195005,40.0,2145,F2,OKLAHOMA,WOODWARD,1.0,100.0
195005,40.0,1830,F1,OKLAHOMA,ELLIS,0.0,33.0
195005,40.0,2300,F1,OKLAHOMA,PAYNE,0.0,33.0
195005,40.0,2300,F2,OKLAHOMA,KINGFISHER,4.3,33.0
195003,28.0,800,F2,MISSISSIPPI,RANKIN,50.3,50.0
195003,28.0,805,F2,MISSISSIPPI,RANKIN,25.7,50.0
195003,28.0,845,F2,MISSISSIPPI,CLAY,4.7,33.0
195003,28.0,1100,F1,MISSISSIPPI,TISHOMINGO,0.1,10.0
195004,28.0,1200,F2,MISSISSIPPI,MARION,11.3,100.0
195001,48.0,1800,F2,TEXAS,BROOKS,4.7,133.0
195002,48.0,1350,F3,TEXAS,HARRIS,12.0,1000.0
195002,48.0,2100,F2,TEXAS,SMITH,4.6,100.0
195002,48.0,2355,F2,TEXAS,CASS,4.5,67.0
195002,48.0,30,F2,TEXAS,BOWIE,8.0,833.0
195002,48.0,115,F1,TEXAS,ERATH,2.3,233.0
195002,48.0,610,F2,TEXAS,LIMESTONE,3.4,100.0
195002,48.0,1157,F1,TEXAS,SHELBY,7.7,100.0
195002,48.0,1200,F3,TEXAS,SHELBY,1.9,50.0
195004,48.0,1800,F4,TEXAS,CALLAHAN,1.3,233.0
195005,48.0,2030,F2,TEXAS,OCHILTREE,1.9,50.0
195005,48.0,1600,F1,TEXAS,FORT BEND,1.0,100.0
195005,48.0,1,F2,TEXAS,KENDALL,18.0,33.0
195007,35.0,1700,F1,NEW MEXICO,QUAY,3.8,500.0
195008,35.0,1230,F1,NEW MEXICO,SOCORRO,7.9,100.0
195005,28.0,500,F1,MISSISSIPPI,JEFFERSON,0.0,33.0
195005,28.0,900,0,MISSISSIPPI,ADAMS,0.0,33.0
195006,28.0,100,F3,MISSISSIPPI,ATTALA,2.0,50.0
195002,5.0,1230,F2,ARKANSAS,GRANT,0.0,100.0
195002,5.0,1500,F2,ARKANSAS,UNION,5.7,100.0
195003,5.0,1930,F2,ARKANSAS,CLARK,4.1,150.0
195001,29.0,1100,F3,MISSOURI,ST. LOUIS,6.2,150.0
195006,29.0,1300,F1,MISSOURI,PULASKI,2.7,220.0
195006,29.0,100,F1,MISSOURI,SHELBY,0.2,100.0
195007,29.0,1600,F1,MISSOURI,MORGAN,1.5,440.0
195003,28.0,500,F2,MISSISSIPPI,HUMPHREYS,0.0,33.0
195003,28.0,730,F2,MISSISSIPPI,ATTALA,11.9,33.0
195003,28.0,745,F2,MISSISSIPPI,HINDS,9.0,50.0
195003,28.0,745,F2,MISSISSIPPI,HINDS,6.2,50.0
195005,40.0,2020,F1,OKLAHOMA,PONTOTOC,0.8,200.0
195005,40.0,1830,F1,OKLAHOMA,BEAVER,0.5,77.0
195005,40.0,1930,F1,OKLAHOMA,DEWEY,7.3,100.0
195005,40.0,1239,F1,OKLAHOMA,CUSTER,1.5,100.0
195005,40.0,2130,F2,OKLAHOMA,WOODWARD,1.0,33.0
195005,40.0,1448,F1,OKLAHOMA,MAYES,1.0,33.0
195006,40.0,1825,F1,OKLAHOMA,KAY,0.0,100.0
195002,28.0,1200,F1,MISSISSIPPI,UNION,2.0,33.0
195002,28.0,1200,F2,MISSISSIPPI,UNION,0.0,33.0
195003,28.0,230,F1,MISSISSIPPI,LAUDERDALE,0.0,33.0
195005,31.0,2210,F2,NEBRASKA,NEMAHA,8.8,467.0
195005,31.0,1515,F1,NEBRASKA,RED WILLOW,0.7,333.0
195006,31.0,1730,F2,NEBRASKA,KNOX,4.1,33.0
195007,31.0,1730,F4,NEBRASKA,BURT,10.0,440.0
195009,31.0,1730,F1,NEBRASKA,LANCASTER,22.5,67.0
195007,9.0,1600,F2,CONNECTICUT,MIDDLESEX,10.0,33.0
195011,28.0,730,F1,MISSISSIPPI,NEWTON,2.0,37.0
195008,12.0,1600,F1,FLORIDA,FRANKLIN,0.5,50.0
195008,12.0,2,0,FLORIDA,JACKSON,0.0,33.0
