actual,predicted,STATE_FIPS
4.0,10.254541,1.0
21.0,12.369461,1.0
21.0,12.900658,1.0
5.0,6.2587934,1.0
21.0,13.628043,1.0
16.0,6.3566394,1.0
9.0,8.799599,1.0
3.0,16.622705,1.0
14.0,10.656354,1.0
21.0,19.752296,1.0
21.0,18.669575,1.0
23.0,13.581211,1.0
13.0,4.8594046,1.0
33.0,22.601904,1.0
1.0,9.458317,1.0
6.0,8.107536,1.0
23.0,17.762472,1.0
23.0,16.32676,1.0
7.0,21.304193,1.0
7.0,18.77785,1.0
9.0,10.76067,1.0
24.0,9.548141,1.0
3.0,8.32888,1.0
9.0,8.782806,1.0
7.0,12.966667,1.0
15.0,8.56686,1.0
15.0,13.26025,1.0
15.0,13.511997,1.0
7.0,13.845458,1.0
13.0,3.6987245,1.0
13.0,3.7218132,1.0
13.0,3.8617833,1.0
6.0,7.748897,1.0
7.0,16.636469,1.0
13.0,26.770157,1.0
13.0,3.4473429,1.0
11.0,10.85881,1.0
11.0,8.323186,1.0
16.0,6.079948,1.0
9.0,16.992277,1.0
15.0,12.966668,1.0
1.0,3.981073,1.0
15.0,13.508542,1.0
4.0,18.191122,1.0
11.0,10.893009,1.0
9.0,17.746443,1.0
4.0,6.925011,1.0
15.0,13.081084,1.0
4.0,6.9934435,1.0
3.0,22.337238,1.0
3.0,20.601038,1.0
13.0,17.216505,1.0
13.0,18.97628,1.0
8.0,17.550764,1.0
14.0,19.82073,1.0
8.0,18.681606,1.0
21.0,13.492561,1.0
8.0,13.905608,1.0
6.0,6.911422,1.0
1.0,10.833326,1.0
8.0,12.863482,1.0
24.0,16.497332,1.0
2.0,8.219442,1.0
2.0,8.198881,1.0
9.0,10.150599,1.0
33.0,23.498215,1.0
24.0,24.689323,1.0
1.0,13.642241,1.0
34.0,8.417335,1.0
2.0,4.0066285,1.0
33.0,20.827871,1.0
34.0,7.578525,1.0
51.0,24.990498,1.0
7.0,10.105225,1.0
4.0,8.581256,1.0
24.0,5.668738,1.0
9.0,24.354076,1.0
9.0,21.39513,1.0
9.0,22.51769,1.0
9.0,22.601904,1.0
17.0,26.332087,1.0
174.0,25.499754,1.0
174.0,16.616762,1.0
24.0,24.63782,1.0
34.0,7.4229846,1.0
174.0,26.162336,1.0
174.0,21.39863,1.0
174.0,21.342665,1.0
174.0,22.048513,1.0
2.0,16.04007,1.0
24.0,11.657515,1.0
5.0,6.2415814,1.0
24.0,21.114515,1.0
7.0,8.841068,1.0
4.0,15.180798,1.0
6.0,10.864928,1.0
24.0,10.042252,1.0
5.0,6.2272434,1.0
23.0,15.5995455,1.0
23.0,16.267963,1.0
34.0,6.5392327,1.0
34.0,7.372765,1.0
4.0,8.164768,1.0
4.0,8.234665,1.0
34.0,7.497991,1.0
24.0,24.4392,1.0
7.0,6.4074535,1.0
174.0,19.135681,1.0
33.0,21.46735,1.0
33.0,25.69141,1.0
24.0,12.475565,1.0
24.0,23.191381,1.0
1.0,3.6975398,1.0
17.0,13.3526945,1.0
17.0,13.3526945,1.0
19.0,10.846207,1.0
19.0,10.409228,1.0
19.0,10.240095,1.0
17.0,13.536044,1.0
25.0,19.980871,1.0
25.0,19.860567,1.0
25.0,17.538733,1.0
1.0,8.099658,1.0
25.0,13.319302,1.0
2.0,21.183893,1.0
17.0,13.274275,1.0
25.0,21.06359,1.0
25.0,19.920717,1.0
51.0,21.036558,1.0
51.0,25.620222,1.0
6.0,5.669366,1.0
51.0,26.271852,1.0
51.0,20.827871,1.0
51.0,26.239,1.0
9.0,8.2284565,1.0
51.0,20.764359,1.0
51.0,21.2902,1.0
51.0,20.973043,1.0
51.0,25.592844,1.0
25.0,17.334223,1.0
51.0,16.409092,1.0
25.0,10.201712,1.0
51.0,21.328676,1.0
51.0,21.433653,1.0
6.0,3.77723,1.0
6.0,10.32394,1.0
23.0,13.296408,1.0
11.0,19.295359,1.0
11.0,17.371672,1.0
11.0,19.182562,1.0
23.0,17.025705,1.0
1.0,10.370607,1.0
5.0,6.1739974,1.0
23.0,17.785414,1.0
1.0,11.498255,1.0
1.0,17.676695,1.0
2.0,13.337093,1.0
25.0,26.808489,1.0
5.0,6.175754,1.0
25.0,23.671087,1.0
11.0,3.6756308,1.0
6.0,9.653039,1.0
6.0,8.115524,1.0
51.0,26.047342,1.0
