date,Average Temperature,departure Average Temperature,region,Precipitation,departure Precipitation,Maximum Temperature,departure Maximum Temperature,Minimum Temperature,departure Minimum Temperature
1992-01-01,23.5,2.2,Northeast Climate Region,2.47,-0.68,32.5,2.0,14.6,2.4
1992-02-01,25.7,3.2,Northeast Climate Region,2.22,-0.50,34.9,2.4,16.5,3.9
1992-03-01,30.0,-2.3,Northeast Climate Region,3.70,0.29,39.8,-2.5,20.2,-2.2
1992-04-01,42.9,-0.9,Northeast Climate Region,2.74,-0.76,53.1,-1.6,32.8,-0.2
1992-05-01,54.6,-0.6,Northeast Climate Region,2.77,-0.89,67.4,0.3,41.8,-1.5
1992-06-01,62.4,-1.6,Northeast Climate Region,3.41,-0.46,73.8,-1.8,50.9,-1.6
1992-07-01,66.2,-2.7,Northeast Climate Region,5.66,1.68,76.2,-4.0,56.2,-1.4
1992-08-01,65.0,-1.7,Northeast Climate Region,4.16,0.32,75.2,-2.7,54.8,-0.8
1992-09-01,59.4,-0.2,Northeast Climate Region,3.83,0.14,70.0,-0.7,48.7,0.2
1992-10-01,45.4,-3.3,Northeast Climate Region,2.66,-0.74,55.6,-3.9,35.1,-2.8
1992-11-01,37.2,0.0,Northeast Climate Region,4.30,0.80,44.4,-1.3,29.9,1.2
1992-12-01,28.0,2.3,Northeast Climate Region,3.35,0.03,35.6,1.7,20.5,3.1
1993-01-01,25.4,4.1,Northeast Climate Region,2.68,-0.47,33.6,3.1,17.3,5.1
1993-02-01,17.5,-5.0,Northeast Climate Region,2.72,0.00,28.5,-4.0,6.5,-6.1
1993-03-01,29.8,-2.5,Northeast Climate Region,4.71,1.30,40.1,-2.2,19.5,-2.9
1993-04-01,45.0,1.2,Northeast Climate Region,5.51,2.01,55.8,1.1,34.2,1.2
1993-05-01,56.4,1.2,Northeast Climate Region,1.86,-1.80,68.8,1.7,44.0,0.7
1993-06-01,63.8,-0.2,Northeast Climate Region,3.67,-0.20,75.5,-0.1,52.0,-0.5
1993-07-01,70.3,1.4,Northeast Climate Region,2.80,-1.18,81.5,1.3,59.0,1.4
1993-08-01,68.8,2.1,Northeast Climate Region,2.98,-0.86,80.2,2.3,57.4,1.8
1993-09-01,59.0,-0.6,Northeast Climate Region,5.11,1.42,68.9,-1.8,49.2,0.7
1993-10-01,46.3,-2.4,Northeast Climate Region,3.52,0.12,56.8,-2.7,35.7,-2.2
1993-11-01,37.6,0.4,Northeast Climate Region,4.20,0.70,46.8,1.1,28.4,-0.3
1993-12-01,26.5,0.8,Northeast Climate Region,3.88,0.56,34.4,0.5,18.7,1.3
1994-01-01,13.1,-8.2,Northeast Climate Region,4.46,1.31,23.2,-7.3,3.0,-9.2
1994-02-01,19.4,-3.1,Northeast Climate Region,2.35,-0.37,30.0,-2.5,8.8,-3.8
1994-03-01,31.6,-0.7,Northeast Climate Region,5.15,1.74,40.6,-1.7,22.6,0.2
1994-04-01,46.3,2.5,Northeast Climate Region,3.59,0.09,58.0,3.3,34.6,1.6
1994-05-01,52.9,-2.3,Northeast Climate Region,3.69,0.03,64.6,-2.5,41.1,-2.2
1994-06-01,67.0,3.0,Northeast Climate Region,4.24,0.37,78.6,3.0,55.4,2.9
1994-07-01,71.4,2.5,Northeast Climate Region,4.11,0.13,81.8,1.6,61.1,3.5
1994-08-01,65.5,-1.2,Northeast Climate Region,5.33,1.49,76.1,-1.8,54.9,-0.7
